htuTempC,htuHumidPercent,watering
6.76,40.02,y
6.17,39.99,y
5.74,39.99,y
5.31,39.82,y
4.89,39.72,y
4.64,39.83,y
4.69,39.8,y
4.78,39.54,y
5.66,38.92,y
12.01,32.52,y
18.65,27.3,n
21.66,25.06,n
23.15,24.39,n
21.84,26.75,n
20.31,28.95,n
16.69,32.38,n
14.03,34.42,n
11.42,36.52,y
9.19,37.77,y
9.1,37.22,y
9.78,36.38,y
9.52,36.48,y
8.77,36.55,y
8.03,37.74,y
7.68,38.31,y
7.05,38.67,y
6.36,39,y
6,39.01,y
5.94,38.61,y
5.87,37.99,y
5.47,37.8,y
5.21,37.51,y
5.61,36.48,y
7.15,34.99,y
8.86,32.65,y
9.51,32.14,y
10.01,31.59,y
9.3,32.65,y
8.17,33.87,y
6.94,35,y
5.89,35.78,y
5.07,36.11,y
4.75,36.27,y
4.54,36.13,y
4.31,36.1,y
3.94,36.32,y
3.42,36.77,y
3.5,36.29,y
3.16,36.66,y
2.84,36.85,y
2.34,37.02,y
2.06,37.1,y
2.07,36.59,y
1.56,37.18,n
1.37,37.13,n
1.18,36.77,n
1.68,36.72,n
8.26,31.41,y
13.9,27.37,y
13.62,27.92,y
14.92,27.62,n
16.9,26.54,n
16.12,27.69,n
11.61,32.85,n
10.11,34.39,y
9.79,34.88,y
9.56,35.07,y
9.82,34.87,y
10.14,34.83,y
10.4,34.8,y
10.65,34.67,y
11.03,34.29,y
11.72,33.61,y
12.02,33.46,y
12.23,33.44,y
12.56,33.26,y
12.87,32.94,y
13.31,32.5,y
13.36,32.49,y
13.35,32.71,y
14.77,31.22,y
17,29.13,y
22.58,24.86,n
24.03,24.2,n
24.78,24.3,n
25.06,24.25,n
19.01,45.82,y
22.2,37.22,n
18.61,47.78,y
20.49,41.8,y
19.63,44.13,y
24.78,45.24,n
24.47,45.71,n
24.27,46.89,n
24.1,47.59,n
23.91,47.46,n
23.84,47.39,n
23.7,47.82,n
23.56,47.68,n
23.45,47.56,n
23.35,48,n
23.13,48.27,n
22.87,49.82,n
22.67,50,n
22.44,50.63,y
22.28,51.02,y
22.09,51.35,y
21.93,51.79,y
21.77,51.93,y
21.62,51.86,n
21.45,51.94,y
21.3,52.01,y
21.14,52.09,y
21,51.99,y
20.93,51.62,y
21.01,51,y
21.1,50.64,y
21.11,50.58,y
21.27,50.42,y
25.66,27.83,n
26.27,26.73,n
26.81,25.79,n
27.34,24.96,n
27.8,24.26,n
28.18,23.79,n
28.5,23.43,n
28.83,23.12,n
29.05,22.93,n
29.11,22.88,n
29.18,22.96,n
29.17,22.98,n
29.14,48.05,y
29.13,23.26,n
22.64,29.3,n
10.39,57.51,y
10.68,56.11,y
10.9,64.4,y
18.1,48.71,y
21.38,43.69,y
23.1,40.8,y
23.49,39.8,y
22.01,43.27,y
17.67,51.58,y
15.71,53.74,y
13.44,52.69,y
13.3,50.75,y
12.61,56.21,y
13.05,56.95,y
13.56,56.68,y
14.29,55.71,y
14.95,54.92,y
15.68,54.14,y
16.31,53.5,y
16.95,52.81,y
17.43,52.6,y
17.8,52.51,y
17.81,52.91,y
17.96,52.96,y
20.37,53.8,y
24.21,43.11,y
21.21,49.23,y
19.24,53.61,n
18.32,55.28,n
18.18,55.21,y
18.19,55.28,y
18.65,54.59,y
18.95,54.07,y
19.12,53.72,y
19.59,51.94,y
18.54,52.77,y
18.83,53.6,y
20.73,49.33,y
21.16,48,y
18.77,52.25,y
18.67,51.77,y
15.91,54.39,y
13.43,55.56,y
14.13,50.35,y
13.25,52.27,y
13.06,51.95,y
12.5,54.59,y
13.51,51.66,y
12.37,53.3,y
16.65,48.34,y
20.19,42.98,y
21.88,40.24,y
19.39,44.84,y
21.25,42.82,y
19.44,46.94,y
15.19,51.45,y
11.83,52.05,y
11.67,47.23,y
10.42,47.99,y
10.01,50.31,y
10.09,50.03,y
9.39,56.02,y
10.3,57.44,y
11.47,56.59,y
12.1,55.84,y
12.19,55.51,y
12.26,55.66,y
12.64,55.02,y
13.45,54.08,y
14.09,53.25,y
14.56,52.9,y
15.08,52.33,y
16.07,50.91,y
17.61,48.81,y
17.89,48.74,y
17.34,49.93,y
16.76,51,y
17.65,50.04,y
17.85,50.2,y
16.85,52.15,y
